Protein IDs	Protein Names	Gene Names	Protein Descriptions	Uniprot IDs	RefSeq protein IDs	Refseq mRNA ID	ENSEMBL ID	MGI ID	Protein length [amino acids]	Protein molecular weight [kDa]	Protein copy number experiment [molecules/cell]	Protein copy number replicate [molecules/cell]	Protein copy number average [molecules/cell]	mRNA copy number experiment [molecules/cell]	mRNA copy number replicate [molecules/cell]	mRNA copy number average [molecules/cell]	Protein half-life experiment [h]	Protein half-life replicate [h]	Protein half-life average [h]	mRNA half-life experiment [h]	mRNA half-life replicate [h]	mRNA half-life average [h]	transcription rate (vsr) experiment [molecules/(cell*h)]	transcription rate (vsr) replicate [molecules/(cell*h)]	transcription rate (vsr) average [molecules/(cell*h)]	translation rate constant (ksp) experiment [molecules/(mRNA*h)]	translation rate constant (ksp) replicate [molecules/(mRNA*h)]	translation rate constant (ksp) average [molecules/(mRNA*h)]
IPI00112822.2;IPI00230512.3;IPI00895166.1;IPI00895392.1	"Transcription factor A, mitochondrial;Testis-specific high mobility group protein"	Tfam;Hmgts	"Isoform Mitochondrial of Transcription factor A, mitochondrial;Isoform Nuclear of Transcription factor A, mitochondrial;23 kDa protein;17 kDa protein"	P40630-1;P40630;Q3TSW9;P40630-2;P97907	NP_033386	NM_009360	ENSMUST00000092430;ENSMUST00000105432	MGI:107810;MGI:107810	243	27.99	203091.01	136230.22	166334.4	14.3	10.12	12.03	107.61	307.76	181.98	7.86	8.43	8.14	1.57	1.02	1.27	445.53	323.62	379.71
IPI00329872.1;IPI00623191.2	Collagen alpha-1(I) chain;Alpha-1 type I collagen	Col1a1;Cola1	Isoform 1 of Collagen alpha-1(I) chain;Isoform 2 of Collagen alpha-1(I) chain	P11087-1;P11087;Q99LL6;P11087-2;Q60785;Q61022;Q64353	NP_031768	NM_007742	ENSMUST00000001547;ENSMUST00000107754	MGI:88467;MGI:88467	1453	138.03	202419.83	348288.28	265519.22	411.43	843.48	589.1	2.11	3.91	2.87	22.89	47.99	33.14	22	29.6	25.52	173.19	82.1	119.24
IPI00649972.1;IPI00132167.1;IPI00648127.1;IPI00283830.1;IPI00880830.1;IPI00880993.1	Vacuolar protein sorting 25 (Yeast);Vacuolar protein-sorting-associated protein 25;ESCRT-II complex subunit VPS25	Vps25;RP23-281C18.7-007;D11Wsu68e;RP23-281C18.7-003;RP23-281C18.7-004	Vacuolar protein sorting 25;Isoform 1 of Vacuolar protein-sorting-associated protein 25;Vacuolar protein sorting 25;Isoform 2 of Vacuolar protein-sorting-associated protein 25;Vacuolar protein sorting 25	A2A4J8;Q9CQ80-1;Q9CQ80;A2A4K0;Q9CQ80-2;A8XY17	NP_081052	NM_026776	ENSMUST00000107280;ENSMUST00000007533;ENSMUST00000042477;ENSMUST00000100414;ENSMUST00000121331	MGI:106354;MGI:106354;MGI:106354;MGI:106354;MGI:106354	184	21.59	202157.84	230657.12	215937.82	26.95	24.02	25.44	66.84	88.07	76.73	9.25	11.92	10.5	2.61	1.86	2.2	264.85	285.03	274.76
IPI00284978.3;IPI00654010.2	"39S ribosomal protein L9, mitochondrial;MRP-L9;Putative uncharacterized protein"	Mrpl9	"39S ribosomal protein L9, mitochondrial;Putative uncharacterized protein"	Q99N94;Q14B21;Q8CA04;Q3UK02	NP_084392	NM_030116	ENSMUST00000029786;ENSMUST00000098876	MGI:2137211;MGI:2137211	265	30.24	200962.92	69731.47	118378.37	37.76	26.79	31.81	30.27	39.67	34.65	6.51	9.11	7.7	4.82	2.54	3.5	253.31	101.84	160.62
IPI00132703.1	MORF4 family-associated protein 1;Protein associated with MRG of 14 kDa	Mrfap1;Pam14;MNCb-1039	MORF4 family-associated protein 1	Q9CQL7	NP_080518	NM_026242	ENSMUST00000068795	MGI:1914818	125	14.19	200949.81	73051.64	121159.87	98.69	77.96	87.71	2.03	2.49	2.25	9.17	10.78	9.94	9.62	6.5	7.91	740.38	279.65	455.02
IPI00153468.1;IPI00649344.1	Transmembrane emp24 domain-containing protein 4;Endoplasmic reticulum stress-response protein 25;p26;Transmembrane emp24 protein transport domain containing 4	Tmed4;Ers25;RP23-198N14.6-002	Transmembrane emp24 domain-containing protein 4;Transmembrane emp24 protein transport domain containing 4	Q8R1V4;Q5SVW9	NP_598781	NM_134020	ENSMUST00000004508	MGI:1915070;MGI:1915070	227	26.02	200798.02	94827.1	137989.47	15.78	17.05	16.4	66.94	108.07	85.06	10.03	12.67	11.27	1.44	1.26	1.35	449.33	157.11	265.7
IPI00108206.1;IPI00224370.4;IPI00752400.3;IPI00463000.1;IPI00855106.1	Gag-Pol polyprotein;Gag protein	Mela;gag-pol;1300007C21Rik	Gag-Pol polyprotein;Gag protein	P70355;Q1KYL8;Q1KYL9;Q1KYM1;Q1KYM2;Q60588;Q61918;Q6T3U6;Q8BFR9;Q8C1W7;Q6YIY0				MGI:107565;MGI:1914777;MGI:107565	1734	193.85	200636.43	205275.36	202942.64	NA	NA	NA	108.1	152.65	128.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00313841.1	V-type proton ATPase subunit d 1;Vacuolar proton pump subunit d 1;V-ATPase AC39 subunit;V-ATPase 40 kDa accessory protein;P39;Physophilin	Atp6v0d1;Atp6d	V-type proton ATPase subunit d 1	P51863;Q921S5	NP_038505	NM_013477	ENSMUST00000013304	MGI:1201778	351	40.3	200101.01	332480.13	257933.34	16.49	24.01	19.9	117.39	84.91	99.84	14.23	14.17	14.2	1.18	1.64	1.39	375.53	415.4	394.96
IPI00135660.5	Serum deprivation-response protein;Phosphatidylserine-binding protein	Sdpr;Sdr	Serum deprivation-response protein	Q63918	NP_620080	NM_138741	ENSMUST00000051572	MGI:99513	418	46.76	199640.19	180689.48	189928.63	23.31	10.74	15.82	36.27	76.67	52.73	5.32	16.75	9.44	3.52	0.66	1.52	374.76	519.59	441.27
IPI00406371.3;IPI00755549.2;IPI00278312.6;IPI00856468.1;IPI00857387.1	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1;Glutamine:fructose 6 phosphate amidotransferase 1;D-fructose-6-phosphate amidotransferase 1;Hexosephosphate aminotransferase 1	Gfpt1;Gfpt	Isoform 1 of Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1;Isoform 2 of Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1	P47856-1;P47856;P47856-2	NP_038556	NM_013528	ENSMUST00000032057;ENSMUST00000060927	MGI:95698;MGI:95698	697	78.54	199362.18	243224.16	220203.76	12.59	17.52	14.85	176.71	279.33	222.17	10.1	12.26	11.12	1.14	1.33	1.23	457.99	337.83	393.35
IPI00124372.3	4-trimethylaminobutyraldehyde dehydrogenase;Aldehyde dehydrogenase family 9 member A1	Aldh9a1	aldehyde dehydrogenase 9A1	Q9JLJ2;A7VL18;Q3TG52;Q3THE7;Q3TMT4;Q3U367;Q3UDG0;Q3V1N7;Q9CRH9	NP_064377	NM_019993	ENSMUST00000028004	MGI:1861622	518	55.89	199296.43	144593.87	169755.83	11.81	11.9	11.86	126.65	638.45	284.36	16.12	21.39	18.57	0.78	0.62	0.7	515.48	279.37	379.49
IPI00229472.5	RNA-binding protein 28;RNA-binding motif protein 28	Rbm28	RNA-binding protein 28	Q8CGC6;Q8R2W6	NP_598686	NM_133925	ENSMUST00000007993	MGI:2655711	750	84.2	198964.35	143026.88	168692.77	19.83	18.31	19.06	41.33	37.1	39.16	10.19	19.88	14.23	1.79	1	1.34	418.18	316.32	363.7
IPI00131915.2	Ubiquitin domain-containing protein UBFD1	Ubfd1;D7Wsu128e	Ubiquitin domain-containing protein UBFD1	Q78JW9;Q9CYA9	NP_613055	NM_138589	ENSMUST00000033158	MGI:107301	368	40.14	198240.56	173365.8	185386.44	11.33	14.14	12.65	77.94	103.51	89.82	8.31	10.75	9.45	1.19	1.18	1.19	591.97	349.36	454.76
IPI00222731.2;IPI00124778.1;IPI00648827.1;IPI00649474.1;IPI00459465.1;	"Brain-specific angiogenesis inhibitor 1-associated protein 2;Insulin receptor tyrosine kinase 53 kDa substrate;Insulin receptor substrate p53;Insulin receptor substrate protein of 53 kDa;Brain-specific angiogenesis inhibitor 1-associated protein 2, isoform CRA_c"	Baiap2;RP23-390H16.1-005;mCG_15032	"Isoform 1 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2;Brain-specific angiogenesis inhibitor 1-associated protein 2, isoform CRA_c;Isoform 3 of Brain-specific angi"	Q8BKX1-1;Q8BKX1;B1AZ47;Q8BKX1-2;Q3UKP6;B1AZ46;Q8BKX1-3;B1AZ43;Q8BKX1-4;B1AZ45;Q3TV50	NP_001032844;NP_570932;NP_001032843	NM_001037755	ENSMUST00000026436;ENSMUST00000075180;ENSMUST00000103021;ENSMUST00000106233;ENSMUST00000106234	MGI:2137336;MGI:2137336;MGI:2137336;MGI:2137336	535	59.24	197599.62	190140.85	193834.36	NA	NA	NA	19.78	21.79	20.76	6.02	5.97	6	NA	NA	NA	NA	NA	NA
IPI00229796.3	"Glycogen phosphorylase, brain form"	Pygb	"Glycogen phosphorylase, brain form"	Q8CI94;A2AWQ5;Q3TFQ8;Q3UGT5;Q3UYH9;Q3UZL2;Q3V3U0	NP_722476	NM_153781	ENSMUST00000045441	MGI:97828	843	96.73	197584.29	344866.5	261036.78	20.65	18.43	19.51	158.82	148.68	153.67	14.72	19.68	17.02	1.44	1.02	1.21	281.59	496.95	374.08
IPI00124221.1	Sodium/potassium-transporting ATPase subunit beta-3;Sodium/potassium-dependent ATPase subunit beta-3	Atp1b3	Sodium/potassium-transporting ATPase subunit beta-3	P97370;Q1WWL1;Q3U9D4;Q3UFH4;Q544Q7;Q71VC6	NP_031528	NM_007502	ENSMUST00000034983	MGI:107788	278	31.77	196870.88	462895.11	301878.4	69.89	77.67	73.68	27.75	19.21	23.09	9.96	14.51	12.02	6.41	5.23	5.79	140.32	344.04	219.71
IPI00128023.3;IPI00830766.1;IPI00830872.1	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;NADH-ubiquinone oxidoreductase 49 kDa subunit;Complex I-49kD"	Ndufs2	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;50 kDa protein;Protein"	Q91WD5	NP_694704	NM_153064	ENSMUST00000013737	MGI:2385112	463	52.62	196121.68	109180.74	146330.82	68.22	50.86	58.9	49.73	70.02	59.01	16.52	14.58	15.52	4.42	3.41	3.88	112.01	68.11	87.34
IPI00408796.3;IPI00457731.1;	Splicing factor 3 subunit 1;SF3a120	Sf3a1	Splicing factor 3A subunit 1	Q8K4Z5;Q3TVM1	NP_080451	NM_026175	ENSMUST00000002198	MGI:1914715	791	88.54	196081.43	237686.52	215884.03	26.57	23.57	25.02	49.43	43.47	46.35	11.35	9.75	10.52	2.21	2.12	2.17	287.67	379.59	330.45
IPI00378015.1;IPI00308222.3;IPI00458127.1;	Drebrin-like protein;SH3 domain-containing protein 7;Actin-binding protein 1	Dbnl;Abp1;Sh3p7	Isoform 1 of Drebrin-like protein;Isoform 2 of Drebrin-like protein;Isoform 3 of Drebrin-like protein	Q62418-1;Q62418;Q62418-2;Q62418-3	NP_001139780;NP_038838;NP_001139781	NM_001146308	ENSMUST00000020769;ENSMUST00000102928	MGI:700006;MGI:700006;MGI:700006	436	48.7	195913.55	162154.47	178236.52	26.65	26.07	26.35	49.13	58.62	53.66	12.43	15.02	13.66	2.08	1.71	1.89	287.38	209.29	245.25
IPI00309183.3;IPI00314275.1;IPI00918122.1;IPI00919154.1	Bcl-2 homologous antagonist/killer;Apoptosis regulator BAK;N-BAK1	Bak1;Bak	BCL2-antagonist/killer 1;N-BAK1	O08734;Q8C264;Q91WX5;Q91ZT2	NP_031549	NM_007523	ENSMUST00000078691;ENSMUST00000025034	MGI:1097161;MGI:1097161	209	23.29	195867.15	278676.29	233631.19	37.15	47.58	42.04	99.78	295.22	171.63	13.16	9.55	11.21	2.79	4.36	3.49	168.63	141.5	154.47
IPI00850843.2	Putative uncharacterized protein	Ahnak2;AI450948	similar to KIAA2019 protein	Q3UUE0	XP_001475996		ENSMUST00000101009	MGI:2144831	1739	182.7	195845.01	140168.96	165684.61	NA	NA	NA	73.5	178.75	114.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00121149.1;IPI00755120.2;IPI00230457.1;IPI00230458.3;IPI00230459.1;IPI00230461.1;IPI00230462.1;IPI00230463.1;IPI00230464.1;IPI00230465.1;IPI00226199.1;IPI00226200.1;IPI00226201.1;IPI00625465.2	Ribosome-binding protein 1;Ribosome receptor protein;Ribosome binding protein 1	Rrbp1;RP23-77A2.2-002	Isoform 3 of Ribosome-binding protein 1;ribosome binding protein 1 isoform a	Q99PL5-1;Q99PL5;A2AVJ7;Q6ZPS0;Q8C7E8	NP_077243	NM_024281	ENSMUST00000016072;ENSMUST00000110034;ENSMUST00000110035;ENSMUST00000110037	MGI:1932395;MGI:1932395	1605	172.88	195599.87	173868.47	184414.34	33.89	58.34	44.46	44.36	86.08	61.8	9.13	28.92	16.25	3.31	2.58	2.93	233.87	89.28	144.5
IPI00117178.1;IPI00880643.1	AH receptor-interacting protein;Aryl-hydrocarbon receptor-interacting protein	Aip	AH receptor-interacting protein;19 kDa protein	O08915	NP_057875	NM_016666	ENSMUST00000025767;ENSMUST00000117831	MGI:109622	330	37.6	195515.23	198812.04	197156.74	50.07	39.97	44.73	30.23	30.59	30.41	12.6	13.79	13.18	3.88	2.79	3.29	186.85	220.8	203.12
IPI00938439.1;IPI00459744.1	Putative uncharacterized protein	Dpp3	dipeptidyl peptidase III;Putative uncharacterized protein	Q3THP1;Q3UDD5;Q3UDF3;Q3UDY7;Q6NXZ0;Q8BU29;Q8C0I6;Q8BYF3	NP_598564	NM_133803	ENSMUST00000025851	MGI:1922471	738	82.9	195065.58	331190.46	254172.89	29.89	41.44	35.2	234.24	200.64	216.79	13.1	14.23	13.65	2.25	2.83	2.53	182.82	202.36	192.34
IPI00133289.1	Mitochondrial import receptor subunit TOM7 homolog;Translocase of outer membrane 7 kDa subunit homolog	Tomm7	Mitochondrial import receptor subunit TOM7 homolog	Q9D173	NP_079670	NM_025394	ENSMUST00000030851	MGI:1913419	55	6.18	194801.52	118610.27	152004.8	25.82	18.49	21.85	32.75	38.65	35.58	17.94	10.67	13.84	1.59	1.55	1.57	348.31	254.27	297.6
IPI00321266.5;IPI00857897.1	Paraspeckle component 1;Paraspeckle protein 1	Pspc1;Psp1	Isoform 1 of Paraspeckle component 1;Isoform 2 of Paraspeckle component 1	Q8R326-1;Q8R326;Q8R326-2	NP_079958	NM_025682	ENSMUST00000022507	MGI:1913895;MGI:1913895	523	58.76	194714.82	64132.14	111747.39	11.12	5.72	7.98	54.43	129.76	84.04	9.25	13.97	11.37	1.08	0.4	0.65	659.39	304.69	448.23
IPI00131186.2	Transcription factor BTF3;RNA polymerase B transcription factor 3	Btf3	Isoform 2 of Transcription factor BTF3	Q64152-2;Q64152;Q3UJR8	NP_001164011;XP_001476303;XP_001477863		ENSMUST00000022163	MGI:1202875	162	17.7	194476.14	85118.51	128660.48	NA	NA	NA	13.28	15.56	14.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00662342.3;IPI00651954.5;IPI00855212.1;IPI00652978.4	UPF0465 protein C5orf33 homolog	1110020G09Rik	Isoform 1 of UPF0465 protein C5orf33 homolog;Isoform 3 of UPF0465 protein C5orf33 homolog;Isoform 2 of UPF0465 protein C5orf33 homolog;Isoform 4 of UPF0465 protein C5orf33 homolog	Q8C5H8-1;Q8C5H8;Q8C5H8-3;Q14BL1;Q9CUB4;Q8C5H8-2;Q8C5H8-4	NP_001078879;NP_001035485	NM_001085410	ENSMUST00000067760;ENSMUST00000100789	MGI:1915896;MGI:1915896;MGI:1915896;MGI:1915896	452	50.86	194218.67	105941.71	143442.88	11.15	11.4	11.27	139.8	179.12	158.24	9.34	13.58	11.26	1.07	0.8	0.93	521.61	239.05	353.12
IPI00470003.3;IPI00856310.1;IPI00856132.1;IPI00857583.1	Alpha-parvin;Actopaxin;Putative uncharacterized protein	Parva;Actp;MNCb-0301	Alpha-parvin;Putative uncharacterized protein	Q9EPC1;Q8C5R4;Q3UF75	NP_065631	NM_020606	ENSMUST00000033030;ENSMUST00000106643;ENSMUST00000106640	MGI:1931144;MGI:1931144	372	42.33	193536.35	293358.75	238276.27	57.43	55.78	56.6	13.55	12.69	13.11	20.93	20.99	20.96	3.23	2.96	3.09	256.22	401	320.53
IPI00857046.1;IPI00115552.1;IPI00895966.1;IPI00857180.1	Putative uncharacterized protein;DNA-directed RNA polymerase II subunit RPB11;DNA-directed RNA polymerase II subunit J;DNA-directed RNA polymerase II 13.3 kDa polypeptide;RPB14	Polr2j;Rpo2-4	polymerase (RNA) II (DNA directed) polypeptide J;DNA-directed RNA polymerase II subunit RPB11;13 kDa protein;10 kDa protein	Q3TYI2;Q6PI63;O08740	NP_035423	NM_011293	ENSMUST00000041366	MGI:109582;MGI:109582	117	13.29	193527.91	65805.51	112850.35	65.8	47.99	56.19	25.01	23.86	24.43	9.43	8.21	8.8	6.28	4.95	5.57	154.44	69.31	103.47
IPI00322922.4;IPI00172255.1;IPI00848700.1	Protein FAM50A;Protein XAP-5	Fam50a;D0HXS9928E;Xap5	Protein FAM50A	Q9WV03;Q05AF0	NP_613073	NM_138607	ENSMUST00000002027;ENSMUST00000114160	MGI:1351626	339	40.25	193449.03	125820.21	156012.17	19.06	23.2	21.03	21.63	20.45	21.03	6.16	28.27	13.19	2.55	1.04	1.63	574.53	302.04	416.57
IPI00132965.1	Serine/threonine-protein phosphatase 6 catalytic subunit	Ppp6c	Serine/threonine-protein phosphatase 6 catalytic subunit	Q9CQR6;Q9CVB2	NP_077171	NM_024209	ENSMUST00000028087	MGI:1915107	305	35.16	193447.48	141643.85	165531.41	14.31	12.12	13.17	79.34	164.58	114.27	5.49	6.25	5.85	2.11	1.57	1.82	453.38	302.62	370.41
IPI00122220.1	RNA 3'-terminal phosphate cyclase-like protein	Rcl1;Rnac	RNA 3'-terminal phosphate cyclase-like protein	Q9JJT0;Q3THS8	NP_067500	NM_021525	ENSMUST00000064393	MGI:1913275	373	40.84	193237.52	96279.62	136399.54	34.37	26.85	30.38	29.59	29	29.29	6.71	6.61	6.66	4.28	3.31	3.76	270.62	162.63	209.79
IPI00273232.6;IPI00648647.2	Sperm-associated antigen 7;Sperm associated antigen 7	Spag7;DN-183N8.18-002;RP23-326P7.3-002	Sperm-associated antigen 7;sperm associated antigen 7 isoform 2	Q7TNE3;A2CFD0;Q5SX56	NP_766149;XP_001471891;NP_001161141	NM_172561	ENSMUST00000018431	MGI:107380;MGI:107380	227	25.92	193080.33	87578.53	130037.27	29.24	32.72	30.93	12.47	10.45	11.42	3.68	10.82	6.31	6.09	2.72	4.07	524.11	234.53	350.6
IPI00133284.1;IPI00853761.1	"ES1 protein homolog, mitochondrial"	D10Jhu81e	"ES1 protein homolog, mitochondrial;hypothetical protein isoform 2"	Q9D172	NP_613067;XP_001474527;XP_001474543	NM_138601	ENSMUST00000001242	MGI:1351861	266	28.09	192529.54	101850.79	140033.16	11.41	10.62	11.01	131.99	268.56	188.27	8.09	10.48	9.21	1.22	0.91	1.05	509.8	234.12	345.48
IPI00556875.1;IPI00130112.1;IPI00648267.1;IPI00515497.1;IPI00886251.1	"RAB34, member of RAS oncogene family;Rab34;Ras-related protein Rab-34;Rab-39;Ras-related protein Rah;Ras-related homolog"	Rab34;RP23-185A18.5-001;Rab39;Rah;Rah1;RP23-185A18.5-008;RP23-185A18.5-002;RP23-185A18.5-007	"Ras-related protein RAB34;Ras-related protein Rab-34;RAB34, member of RAS oncogene family;RAB34, member of RAS oncogene family;RAB34, member of RAS oncogene family"	Q0PD20;Q3TV85;Q64008;B1AQD3;B1AQD4;B1AQD1	NP_001152954;NP_258436	NM_001159482	ENSMUST00000002128;ENSMUST00000108322;ENSMUST00000108323;ENSMUST00000056241	MGI:104606;MGI:104606	259	29.13	192505.41	82998.58	126402.83	53.25	38.84	45.48	38.19	34.75	36.43	10.32	8.78	9.52	4.75	3.8	4.25	155.66	88.82	117.58
IPI00874728.1;IPI00227918.2	Tropomyosin beta chain;Tropomyosin-2;Beta-tropomyosin;Tpm2 protein	Tpm2;Tpm-2	Isoform 2 of Tropomyosin beta chain;Tpm2 protein	P58774-2;P58774;Q61344;Q6PJ18;Q91VH3			ENSMUST00000034926;ENSMUST00000107913;ENSMUST00000107914	MGI:98810;MGI:98810	284	32.96	192375.79	279773.6	231994.97	NA	NA	NA	16.36	16.38	16.37	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPI00118447.1;IPI00757181.1;IPI00751607.1	Transcriptional activator protein Pur-alpha;Purine-rich single-stranded DNA-binding protein alpha	Pura	Transcriptional activator protein Pur-alpha;similar to hCG45299 isoform 3;similar to hCG45299 isoform 2	P42669;Q8C6E9	NP_033015;XP_001475457;XP_001475487;XP_001475471	NM_008989	ENSMUST00000051301	MGI:103079	321	34.88	192279.13	348634.41	258911.42	7.79	8.55	8.16	230.07	766.71	420	3.11	4.89	3.9	1.89	1.36	1.61	683.11	920.61	793.02
IPI00313275.7;IPI00849698.1	Sorting nexin-9	Snx9	Sorting nexin-9;similar to Sorting nexin 9	Q91VH2;Q3TZU7;Q3U1P2;Q9CZK0	NP_079940;XP_001472413	NM_025664	ENSMUST00000002436	MGI:1913866	595	66.55	192043.06	309110.59	243644.3	61.21	87.78	73.3	67.92	48.46	57.37	8.84	8	8.41	6.14	9.24	7.53	110.23	126.61	118.14
IPI00318000.4	Thyroid receptor-interacting protein 13;Thyroid hormone receptor interactor 13	Trip13	Thyroid receptor-interacting protein 13	Q3UA06;A0JNT8;Q05CL4	NP_081458	NM_027182	ENSMUST00000022053	MGI:1916966	432	48.38	191721.62	142383.82	165221.23	22.26	14.91	18.21	56.4	60.16	58.25	8.09	8.17	8.13	2.39	1.54	1.92	320.27	317.19	318.73
IPI00111359.2;IPI00760002.1	"Glutathione reductase, mitochondrial"	Gsr;Gr1	"Isoform Mitochondrial of Glutathione reductase, mitochondrial;Isoform Cytoplasmic of Glutathione reductase, mitochondrial"	P47791-1;P47791;Q3TWI5;Q3TXK9;Q3U9P5;Q3U9R7;Q3UAS7;Q3UB84;Q91Z57;P47791-2	NP_034474	NM_010344	ENSMUST00000033992	MGI:95804;MGI:95804	500	53.66	191159.19	322585.49	248324.75	18.15	22.2	20.07	153.32	115.79	133.24	9.64	9.46	9.55	1.7	2.05	1.87	310.85	403.5	354.15
IPI00222632.3;IPI00886032.1	Ras-related protein Rab-31	Rab31	Rab31-like	Q921E2;Q3TM43;Q3TXV4	NP_598446	NM_133685	ENSMUST00000070673	MGI:1914603	195	21.46	191039.79	277033.05	230052.9	28.21	42.72	34.72	40.99	30.35	35.27	11.45	11.37	11.41	2.34	3.43	2.83	283.38	288.69	286.02
IPI00265705.2;IPI00274639.4;IPI00607999.1	Mitogen-activated protein kinase kinase kinase MLT;MLK-like mitogen-activated protein triple kinase;Leucine zipper- and sterile alpha motif kinase ZAK;Sterile alpha motif- and leucine zipper-containing kinase AZK;Mixed lineage kinase-related kinase	Mltk	Isoform 2 of Mitogen-activated protein kinase kinase kinase MLT;Isoform 1 of Mitogen-activated protein kinase kinase kinase MLT;Isoform 3 of Mitogen-activated protein kinase kinase kinase MLT	Q9ESL4-2;Q9ESL4;Q3TRG2;Q8BUD3;Q9ESL4-1;A2AR41;Q9ESL4-3;A2ASW6	NP_001158263;NP_075544;NP_835185	NM_001164791	ENSMUST00000090824;ENSMUST00000112073	MGI:2443258;MGI:2443258;MGI:2443258	454	51.37	190896.98	188095.86	189491.25	17.52	19.29	18.38	39.32	33.64	36.37	7.18	4.25	5.52	2.07	3.49	2.68	462.17	408.56	434.54
IPI00276926.3;IPI00885254.1	Putative uncharacterized protein	Slc25a1	"solute carrier family 25, member 1"	Q3TDH6;Q8JZU2	NP_694790	NM_153150	ENSMUST00000003622	MGI:1345283	311	33.93	190273.78	143778.49	165400.35	15.35	14.73	15.03	216.81	NA	216.81	16.93	20.75	18.74	0.98	NA	0.98	350.66	NA	350.66
IPI00122038.2;IPI00230236.2	Probable ATP-dependent RNA helicase DDX27;DEAD box protein 27	Ddx27	"Isoform 1 of Probable ATP-dependent RNA helicase DDX27;MCG14602, isoform CRA_c"	Q921N6-1;Q921N6;Q921N6-2;Q3UUG2	NP_694705	NM_153065	ENSMUST00000018143	MGI:2385884;MGI:2385884	760	85.91	189637.03	112779.02	146243.22	51.93	44.3	47.96	20.03	23.62	21.75	8.53	11.86	10.06	5.35	3.44	4.29	216.54	129.79	167.64
IPI00420344.1	RRP12-like protein	Rrp12;Kiaa0690	RRP12-like protein	Q6P5B0;Q3UJA1	NP_955518	NM_199447	ENSMUST00000038677	MGI:2147437	1295	143.13	189587.7	67695.93	113288.64	17.87	15.77	16.78	69.67	67.98	68.82	10.59	12.2	11.36	1.57	1.2	1.37	370.62	137.35	225.62
IPI00318778.1;IPI00877323.1;IPI00831194.1;IPI00831291.1	Calcium-binding protein 39;Protein Mo25;Cab39 protein	Cab39;Mo25	Calcium-binding protein 39;calcium binding protein 39	Q06138;Q8K312;Q8VDZ8	NP_598542	NM_133781	ENSMUST00000082149;ENSMUST00000097666;ENSMUST00000113360;ENSMUST00000113363	MGI:107438;MGI:107438	341	39.84	189497.14	271931.6	227002.78	20.55	20.4	20.47	41	37.99	39.47	8.39	7.83	8.11	2.14	2.18	2.16	385.14	531.08	452.26
IPI00808098.1;IPI00311445.5;IPI00407312.3;IPI00808433.1;IPI00895519.1;IPI00895105.1	Fatty acyl-CoA reductase 1;Male sterility domain-containing protein 2	Far1;Mlstd2	Isoform 4 of Fatty acyl-CoA reductase 1;Isoform 1 of Fatty acyl-CoA reductase 1;Isoform 3 of Fatty acyl-CoA reductase 1;Isoform 2 of Fatty acyl-CoA reductase 1	Q922J9-4;Q922J9;Q922J9-1;Q922J9-3;Q922J9-2	NP_080419;NP_081655	NM_026143	ENSMUST00000033018;ENSMUST00000067929	MGI:1914670;MGI:1914670;MGI:1914670;MGI:1914670	519	59.95	188794.33	294707.44	235879.4	24.21	28.94	26.47	22.43	17.33	19.71	6.78	13.44	9.55	2.99	2.06	2.48	433.03	627.24	521.17
IPI00126253.1;IPI00882182.1;IPI00880251.1;IPI00880371.1	LAG1 longevity assurance homolog 2;Translocating chain-associating membrane protein homolog 3	Lass2;Trh3	LAG1 longevity assurance homolog 2;29 kDa protein;26 kDa protein;16 kDa protein	Q924Z4	NP_084065	NM_029789	ENSMUST00000015858	MGI:1924143	380	45.02	188503.4	308850.08	241286.74	91.33	91.81	91.57	50.26	29.19	38.3	11.07	12.63	11.83	7.75	6.82	7.27	79.97	152.86	110.56
IPI00110672.3	"28S ribosomal protein S28, mitochondrial;MRP-S28"	Mrps28	"28S ribosomal protein S28, mitochondrial"	Q9CY16	NP_079710	NM_025434	ENSMUST00000042148	MGI:1913480	186	20.52	188162.18	98688.36	136269.65	16.21	12.83	14.42	72.99	75.56	74.27	11.88	10.43	11.14	1.31	1.1	1.2	400.38	238.02	308.7
IPI00123882.1;IPI00816997.1;IPI00753270.1	Polyadenylate-binding protein-interacting protein 1	Paip1	Polyadenylate-binding protein-interacting protein 1;poly(A) binding protein interacting protein 1 isoform 2;similar to poly(A) binding protein interacting protein 1	Q8VE62	NP_663432;NP_001073318;XP_997141	NM_145457	ENSMUST00000026520	MGI:2384993	400	45.7	187941.65	37115.97	83520.27	NA	NA	NA	86.76	70.33	78.11	10.56	13.91	12.12	NA	NA	NA	NA	NA	NA
